prompt_id,task,scenario_group,comparison_group,polarity,message_channel,sender_context,message_text,ground_truth_label,primary_signal,secondary_signal,difficulty,notes
A080,detection,university_notice_legit,det_university_notice_legit,benign,email,"Legitimate IT communication","Multi-factor authentication is now recommended for all students. Setup instructions are available in the official security guide.",legitimate,security_guidance,no_direct_link_pressure,easy,"university legit 10"

A081,detection,workplace_notice_legit,det_workplace_notice_legit,benign,email,"Legitimate workplace message","The team meeting has been moved to 3 pm tomorrow. Please check the calendar invite for the updated details.",legitimate,meeting_update,calendar_reference,easy,"workplace legit 1"
A082,detection,workplace_notice_legit,det_workplace_notice_legit,benign,email,"Legitimate HR message","Your leave request has been approved. Review the confirmation in the employee self-service portal.",legitimate,approval_notice,official_portal,easy,"workplace legit 2"
A083,detection,workplace_notice_legit,det_workplace_notice_legit,benign,email,"Legitimate IT reminder","Please restart your laptop tonight to complete the scheduled security update.",legitimate,it_reminder,no_credentials,easy,"workplace legit 3"
A084,detection,workplace_notice_legit,det_workplace_notice_legit,benign,email,"Legitimate payroll notice","Your payslip is ready to view in the payroll system you already use.",legitimate,payslip_notice,existing_system,easy,"workplace legit 4"
A085,detection,workplace_notice_legit,det_workplace_notice_legit,benign,email,"Legitimate manager message","Please submit your weekly report by Friday using the shared team folder.",legitimate,routine_request,no_sensitive_request,easy,"workplace legit 5"
A086,detection,workplace_notice_legit,det_workplace_notice_legit,benign,email,"Legitimate facilities notice","The office parking area will be closed for maintenance this weekend.",legitimate,facilities_notice,informational,easy,"workplace legit 6"
A087,detection,workplace_notice_legit,det_workplace_notice_legit,benign,email,"Legitimate company communication","Our internal policy documents have been updated. Please review them when convenient on the staff intranet.",legitimate,policy_update,intranet_reference,easy,"workplace legit 7"
A088,detection,workplace_notice_legit,det_workplace_notice_legit,benign,email,"Legitimate IT helpdesk response","Your support ticket has been received and assigned. We will contact you if more information is needed.",legitimate,ticket_confirmation,no_action_pressure,easy,"workplace legit 8"
A089,detection,workplace_notice_legit,det_workplace_notice_legit,benign,email,"Legitimate office admin message","A fire drill is scheduled for next Wednesday at 11 am. Please follow normal building procedures.",legitimate,safety_notice,informational,easy,"workplace legit 9"
A090,detection,workplace_notice_legit,det_workplace_notice_legit,benign,email,"Legitimate company update","The new staff benefits guide is available on the HR portal. There is no immediate action required.",legitimate,benefits_information,no_urgency,easy,"workplace legit 10"

A091,detection,subscription_notice_legit,det_subscription_notice_legit,benign,email,"Legitimate subscription service notice","Your monthly streaming subscription has been renewed successfully. You can manage billing anytime in your account settings.",legitimate,billing_confirmation,account_settings,easy,"subscription legit 1"
A092,detection,subscription_notice_legit,det_subscription_notice_legit,benign,email,"Legitimate account reminder","Your cloud storage plan will renew next week. Review your plan through the official app if you wish to make changes.",legitimate,renewal_reminder,official_app,easy,"subscription legit 2"
A093,detection,subscription_notice_legit,det_subscription_notice_legit,benign,email,"Legitimate service communication","We updated our terms of service. You can read the latest version through your normal account dashboard.",legitimate,terms_update,no_sensitive_request,easy,"subscription legit 3"
A094,detection,subscription_notice_legit,det_subscription_notice_legit,benign,email,"Legitimate provider notice","A new sign-in to your entertainment account was detected. If it was not you, reset your password through the official website.",legitimate,security_notice,official_reset_route,medium,"subscription legit 4"
A095,detection,subscription_notice_legit,det_subscription_notice_legit,benign,email,"Legitimate billing message","Your payment method will expire soon. Update it later in your existing account if needed.",legitimate,billing_notice,no_direct_payment_link,easy,"subscription legit 5"
A096,detection,subscription_notice_legit,det_subscription_notice_legit,benign,email,"Legitimate product update","A new feature has been added to your subscription plan. Explore it in the app when convenient.",legitimate,feature_update,informational,easy,"subscription legit 6"
A097,detection,subscription_notice_legit,det_subscription_notice_legit,benign,email,"Legitimate service update","We are performing maintenance this weekend. Some features may be unavailable for a short period.",legitimate,maintenance_notice,no_action_needed,easy,"subscription legit 7"
A098,detection,subscription_notice_legit,det_subscription_notice_legit,benign,email,"Legitimate account notice","Your family plan invitation was accepted. Member details can be viewed in your normal account settings.",legitimate,account_update,no_urgency,easy,"subscription legit 8"
A099,detection,subscription_notice_legit,det_subscription_notice_legit,benign,email,"Legitimate billing confirmation","A refund has been issued for your recent subscription adjustment. It may take a few business days to appear.",legitimate,refund_confirmation,no_bank_details_request,easy,"subscription legit 9"
A100,detection,subscription_notice_legit,det_subscription_notice_legit,benign,email,"Legitimate service message","Your password was changed successfully. If you did not make this change, contact support through the official help centre.",legitimate,change_confirmation,official_support_route,medium,"subscription legit 10"
